Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  6.32      0.06     0.06 16865835     0.00     0.00  __gnu_cxx::__normal_iterator<Connection const*, std::vector<Connection, std::allocator<Connection> > >::__normal_iterator(Connection const* const&)
  5.26      0.11     0.05  9489093     0.00     0.00  bool __gnu_cxx::operator!=<std::shared_ptr<Module>*, std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<Module>*, std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > > > const&, __gnu_cxx::__normal_iterator<std::shared_ptr<Module>*, std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > > > const&)
  5.26      0.16     0.05  4216734     0.00     0.00  SmoothOsc<gam::Sine<float, gam::DomainObserver> >::generate()
  5.26      0.21     0.05  4215057     0.00     0.00  float gam::scl::sinP9<float>(float)
  4.74      0.26     0.04  8436913     0.00     0.00  std::vector<Connection, std::allocator<Connection> >::operator[](unsigned long)
  4.21      0.29     0.04  4745233     0.00     0.00  gam::Seg<float, gam::iplSeq::Linear, float, gam::DomainObserver>::done() const
  4.21      0.34     0.04  4744127     0.00     0.00  gam::Seg<float, gam::iplSeq::Linear, float, gam::DomainObserver>::operator()()
  3.16      0.36     0.03 16869088     0.00     0.00  __gnu_cxx::__normal_iterator<Connection const*, std::vector<Connection, std::allocator<Connection> > >::base() const
  3.16      0.40     0.03 12657441     0.00     0.00  std::__shared_ptr<Module, (__gnu_cxx::_Lock_policy)2>::get() const
  3.16      0.42     0.03 12656920     0.00     0.00  std::__shared_ptr_access<Module, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  3.16      0.46     0.03 12655473     0.00     0.00  std::__shared_ptr_access<Module, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  3.16      0.48     0.03  8435642     0.00     0.00  std::__shared_ptr_access<Signal, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  3.16      0.52     0.03  8432300     0.00     0.00  std::vector<Connection, std::allocator<Connection> >::begin() const
  3.16      0.55     0.03  4218844     0.00     0.00  gam::AccumPhase<float, gam::DomainObserver>::freq(float)
  3.16      0.57     0.03  4216938     0.00     0.00  gam::AccumPhase<float, gam::DomainObserver>::nextPhaseUsing(float)
  3.16      0.60     0.03   526800     0.00     0.00  Synth::generate()
  2.63      0.63     0.03  4218688     0.00     0.00  Signal::getValue() const
  2.11      0.65     0.02 18984291     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Module>*, std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > > >::base() const
  2.11      0.67     0.02  8439388     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Module>*, std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > > >::operator*() const
  2.11      0.69     0.02  4219480     0.00     0.00  std::_Tuple_impl<0ul, IBaseOsc*, std::default_delete<IBaseOsc> >::_M_head(std::_Tuple_impl<0ul, IBaseOsc*, std::default_delete<IBaseOsc> > const&)
  2.11      0.71     0.02  4218560     0.00     0.00  Signal::setValue(double)
  2.11      0.73     0.02  4218245     0.00     0.00  Oscillator4::generate()
  1.58      0.74     0.01  8434191     0.00     0.00  std::vector<Connection, std::allocator<Connection> >::empty() const
  1.58      0.76     0.01  8432220     0.00     0.00  bool __gnu_cxx::operator==<Connection const*, std::vector<Connection, std::allocator<Connection> > >(__gnu_cxx::__normal_iterator<Connection const*, std::vector<Connection, std::allocator<Connection> > > const&, __gnu_cxx::__normal_iterator<Connection const*, std::vector<Connection, std::allocator<Connection> > > const&)
  1.58      0.78     0.01  4217861     0.00     0.00  std::__shared_ptr<Signal, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  1.05      0.79     0.01  8435534     0.00     0.00  std::__shared_ptr<Signal, (__gnu_cxx::_Lock_policy)2>::get() const
  1.05      0.80     0.01  8434254     0.00     0.00  gam::AccumPhase<float, gam::DomainObserver>::mapFreq(float) const
  1.05      0.81     0.01  4709515     0.00     0.00  gam::iplSeq::Base<2u, float>::val() const
  1.05      0.81     0.01  4219746     0.00     0.00  std::__uniq_ptr_impl<IBaseOsc, std::default_delete<IBaseOsc> >::_M_ptr() const
  1.05      0.82     0.01  4219593     0.00     0.00  IBaseOsc* const& std::__get_helper<0ul, IBaseOsc*, std::default_delete<IBaseOsc> >(std::_Tuple_impl<0ul, IBaseOsc*, std::default_delete<IBaseOsc> > const&)
  1.05      0.83     0.01  4219488     0.00     0.00  std::tuple_element<0ul, std::tuple<IBaseOsc*, std::default_delete<IBaseOsc> > >::type const& std::get<0ul, IBaseOsc*, std::default_delete<IBaseOsc> >(std::tuple<IBaseOsc*, std::default_delete<IBaseOsc> > const&)
  1.05      0.84     0.01  4217155     0.00     0.00  gam::AccumPhase<float, gam::DomainObserver>::nextPhase(float)
  1.05      0.85     0.01  1053844     0.00     0.00  gam::AudioIOData::out(int, int) const
  1.05      0.86     0.01   527346     0.00     0.00  std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > >::size() const
  1.05      0.88     0.01   526971     0.00     0.00  Synth::processAudio()
  1.05      0.89     0.01    13512     0.00     0.00  ImFont::RenderText(ImDrawList*, float, ImVec2 const&, unsigned int, ImVec4 const&, char const*, char const*, float, bool) const
  1.05      0.90     0.01     4057     0.00     0.00  bool ImGui::SliderBehaviorT<float, float, float>(ImRect const&, unsigned int, int, float*, float, float, char const*, int, ImRect*)
